ID,Category,Question,Problem Link,Companies,Difficulty,Status
178,Greedy,Minimum Cost to cut a board into squares,https://www.geeksforgeeks.org/minimum-cost-cut-board-squares/,Maccafe,,
179,Binary Trees,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/, Amazon Cadence India CouponDunia D-E-Shaw FactSet FreeCharge MakeMyTrip,,
180,Binary Trees,Reverse Level Order Traversal,https://practice.geeksforgeeks.org/problems/reverse-level-order-traversal/1,Amazon + Microsoft + flipkart + Adobe,,
181,Binary Trees,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,Amazon + Microsoft + Facebook,,
182,Binary Trees,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/, Amazon Hike,,
183,Binary Trees,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/, Accolite Adobe Amazon Cisco D-E-Shaw Flipkart,,
184,Binary Trees,Left View of Binary Tree,https://practice.geeksforgeeks.org/problems/left-view-of-binary-tree/1,Microsoft + Adobe + Cisco Networking Academy,,
185,Binary Trees,Right View of Binary Tree,https://practice.geeksforgeeks.org/problems/right-view-of-binary-tree/1,Amdocs,,
186,Binary Trees,ZigZag Tree Traversal,https://practice.geeksforgeeks.org/problems/zigzag-tree-traversal/1, Amazon Cisco FactSet Hike Snapdeal Walmart Microsoft Flipkart,,
187,Binary Trees,Create a mirror tree from the given binary tree,https://www.geeksforgeeks.org/create-a-mirror-tree-from-the-given-binary-tree/, Accolite Adobe Amazon Belzabar EBay Goldman Sachs Microsoft Morgan Stanley Myntra Ola Cabs Paytm,,
188,Binary Trees,Leaf at same level,https://practice.geeksforgeeks.org/problems/leaf-at-same-level/1, Amazon,,
189,Binary Trees,Check for Balanced Tree,https://practice.geeksforgeeks.org/problems/check-for-balanced-tree/1, Amazon Walmart Microsoft,,
190,Binary Trees,Transform to Sum Tree,https://practice.geeksforgeeks.org/problems/transform-to-sum-tree/1, Amazon FactSet Microsoft Samsung Walmart,,
191,Binary Trees,Check if Tree is Isomorphic,https://practice.geeksforgeeks.org/problems/check-if-tree-is-isomorphic/1, Amazon Microsoft,,
192,Binary Trees,Same Tree,https://leetcode.com/problems/same-tree/, Amazon Microsoft Flipkart,,
193,Binary Trees,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/, Accolite Amazon Microsoft,,
194,Binary Trees,Height of Binary Tree,https://practice.geeksforgeeks.org/problems/height-of-binary-tree/1, Amazon Cadence India CouponDunia D-E-Shaw FactSet FreeCharge MakeMyTrip,,
195,Binary Trees,Diameter of a Binary Tree,https://practice.geeksforgeeks.org/problems/diameter-of-binary-tree/1, Amazon Microsoft OYO Rooms,,
196,Binary Trees,Top View of Binary Tree,https://practice.geeksforgeeks.org/problems/top-view-of-binary-tree/1,Microsoft + Adobe + Expedia Group,,
197,Binary Trees,Bottom View of Binary Tree,https://practice.geeksforgeeks.org/problems/bottom-view-of-binary-tree/1,DE Shaw India,,
198,Binary Trees,Diagonal Traversal of Binary Tree,https://www.geeksforgeeks.org/diagonal-traversal-of-binary-tree/, Amazon Microsoft,,
199,Binary Trees,Boundary Traversal of binary tree,https://practice.geeksforgeeks.org/problems/boundary-traversal-of-binary-tree/1, Accolite Amazon FactSet Hike Kritikal Solutions,,
200,Binary Trees,Construct Binary Tree from String with Brackets,https://www.geeksforgeeks.org/construct-binary-tree-string-bracket-representation/, Microsoft Morgan Stanley OYO Rooms Payu Samsung Snapdeal Flipkart,,
201,Binary Trees,Minimum swap required to convert binary tree to binary search tree,https://www.geeksforgeeks.org/minimum-swap-required-convert-binary-tree-binary-search-tree/, Adobe Amazon,,
202,Binary Trees,Duplicate subtree in Binary Tree,https://practice.geeksforgeeks.org/problems/duplicate-subtree-in-binary-tree/1, Google,,
203,Binary Trees,Check if a given graph is tree or not,https://www.geeksforgeeks.org/check-given-graph-tree/,Microsoft Amazon,,
